Hole_ID,Depth_From,Depth_To,Mg_ppm,Al_ppm,Si_ppm,P_ppm,K_ppm,Ca_ppm,Ti_ppm,V_ppm,Cr_ppm,Mn_ppm,Fe_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Pb_ppm,LE_ppm
MSDP01,468.8,470.13,14481.29,73917.9,359384.32,1018.22,48240.37,7499.08,5772.41,151.19,115.0,817.8,40085.57,13.27,26.3,220.07,181.49,78.71,49.55,362.79,36.05,13.63,7.42,447298.63
MSDP01,470.13,471.46,13959.24,74198.86,364744.0,985.5,50610.11,6929.58,5582.66,160.54,76.58,770.15,34471.04,14.64,4.17167237477714,106.71,188.09,75.65,50.15,362.24,36.26,9.5,8.66,446503.46
MSDP01,471.46,472.79,14647.9,75756.48,371582.97,979.78,51290.24,6995.82,5187.42,166.21,79.05,718.68,33604.32,6.21794544402701,15.27,96.2,193.53,73.81,48.51,364.86,35.58,8.12,7.58,438001.38
MSDP01,472.79,473.8,13742.24,73082.27,364650.89,961.85,50846.87,7422.88,5293.45,162.3,99.76,744.66,32995.26,9.11,3.59133100631014,98.79,190.74,73.13,49.88,369.73,35.66,8.32,7.62,448997.66
MSDP01,473.8,474.8,16682.87,74906.49,372337.51,1056.44,50845.27,7658.01,5284.19,160.51,100.61,766.81,34516.61,13.08,4.11024709771941,342.5,192.57,71.61,50.03,365.48,36.17,8.24,7.84,434477.3
MSDP01,474.8,475.8,16650.21,73093.86,369353.51,1069.8,49590.52,8366.77,5560.95,152.17,135.58,815.91,36814.51,16.81,4.32263338492093,219.03,189.93,72.89,49.46,367.52,34.3,13.22,9.91,437287.36
MSDP01,475.8,476.8,14545.34,72769.87,371307.61,985.14,49734.79,8619.59,5707.92,142.63,88.54,883.62,33587.62,14.12,10.62,201.41,191.61,74.29,50.93,380.05,35.94,6.79,9.0,440449.64
MSDP01,476.8,477.8,15958.85,71894.35,369528.38,927.42,50030.88,9505.61,5202.98,142.9,112.69,943.18,32157.05,18.01,38.77,148.2,198.89,76.32,50.05,374.16,36.4,7.31,8.78,442340.51
MSDP01,477.8,478.8,13005.99,69385.62,356817.03,814.39,46947.25,8885.34,5163.63,141.04,68.65,899.13,31339.45,18.77,23.74,143.59,198.45,79.74,50.7,370.55,34.35,7.64,11.33,465364.27
MSDP01,478.8,479.8,16418.98,71521.31,374809.68,1004.55,50340.05,9282.02,5618.2,187.42,83.02,878.56,33390.54,14.23,14.09,148.08,199.06,86.13,49.27,370.31,35.67,6.06,10.54,435349.26
MSDP01,479.8,480.8,16773.32,71498.36,375829.9,1019.45,48586.9,7938.19,5466.65,137.19,94.23,832.98,30704.76,10.08,4.0627343843365695,288.65,197.88,78.83,49.58,359.81,34.51,7.26,11.61,439973.78
MSDP01,480.8,481.8,14946.39,70209.21,365066.14,953.94,47853.94,8217.97,5461.06,135.68,84.96,877.39,33868.87,11.06,4.40281778016025,317.29,195.54,78.87,47.96,362.51,36.4,11.42,9.23,451144.23
MSDP01,481.8,483.46,18345.4,73667.58,374147.75,983.04,48501.05,8138.99,5538.45,123.28,111.79,844.5,33749.04,12.23,4.23703820731592,298.77,197.14,76.61,48.4,362.9,36.4,10.27,11.72,434642.65
MSDP01,483.46,485.13,15692.52,72395.52,373535.71,999.73,47740.72,8519.85,5205.32,132.87,88.26,880.87,29795.67,16.1,4.41635188594006,213.09,193.49,75.85,49.29,353.46,34.89,10.12,11.9,443908.97
MSDP01,485.13,486.8,16795.12,71838.76,377695.74,994.11,47955.95,9132.59,5245.1,139.52,58.95,853.66,27210.02,6.0682756878651904,3.9705561177978397,219.61,195.41,75.34,50.14,356.49,35.13,7.4,11.02,441004.52
MSDP01,486.8,486.81,14724.45,71525.22,368076.51,998.99,48069.32,8496.54,5395.87,141.55,76.26,813.04,29854.38,6.20584100842237,4.02705713308301,165.26,193.0,76.17,48.76,360.79,35.24,6.09,9.54,450792.97
MSDP01,486.81,487.8,18215.76,69487.11,359853.28,1021.38,47438.51,8218.3,6152.11,127.01,107.81,858.97,36692.36,9.35,4.38349905182487,401.31,192.23,76.63,50.43,379.56,40.81,12.19,11.46,450518.72
MSDP01,487.8,488.8,15972.16,69032.78,357526.15,1032.61,46702.41,8910.64,6095.8,143.92,202.26,891.56,42303.92,19.85,4.88175106753909,379.58,187.47,76.45,52.64,378.19,39.58,17.78,10.01,449888.65
MSDP01,488.8,489.8,16760.92,72614.39,374737.35,1030.57,47997.67,9092.52,5807.69,135.07,153.88,874.34,36781.88,12.1,4.12547765520859,170.47,187.38,72.96,50.73,374.81,38.51,13.12,13.66,432963.52
MSDP01,489.8,490.6,14753.25,68310.2,368669.56,992.47,46428.89,9730.65,5242.59,143.51,102.51,953.84,29325.08,6.30750492845935,4.144066852286049,138.31,191.56,74.15,52.72,365.97,34.72,10.93,11.35,454359.37
MSDP01,490.6,491.4,14119.04,69813.86,373982.88,1035.36,46794.57,9676.75,5171.52,141.83,111.72,882.49,29519.05,8.71,3.8141550724535698,151.16,192.94,73.28,51.41,369.89,35.47,9.03,12.15,447769.98
MSDP01,491.4,492.2,15965.53,70629.78,370401.76,954.19,47228.95,9073.39,5540.0,134.05,99.32,873.07,33111.25,14.28,4.37139307497828,154.53,191.78,73.66,51.67,373.58,39.06,12.07,11.75,444958.47
MSDP01,492.2,493.2,18502.9,68745.77,366094.49,1000.14,45507.49,13867.91,5657.55,137.17,104.87,1318.26,31740.46,14.31,4.52560683842833,393.24,185.69,78.53,49.74,362.23,36.49,9.83,9.05,446062.61
